Finanslov;År;I alt omsætning (mio kr);Tilskud i alt UI;Uddannelsestilskud fra UI;Heltidsuddannelse;Færdiggørelsesbonus;Udvekslingsstuderende;Småfag;Fripladser og stipendier;Udvikling;Deltidsuddannelse;Administrative effektiviseringer;Basistilskud fra UI;Forskning;Kapitaltilskud;Forskningsbaseret myndighedsbetjening;Øvrige formål;Øvrige tilskud og indtægter i alt;Øvrige uddannelsestilskud mv;Tilskudsfinansieret forskning;- heraf forskning;Driftsindtægter;Andre tilskud
R;2007;5042;2725;1146;1030;64;9;5;;17.0;21;;1579;1427;-13.0;467;160;2317;120;1325;228;381;24
R;2008;5284;2830;1171;1030;88;9;5;;15.0;24;;1659;1511;-8.0;497;156;2454;96;1403;254;412;46
R;2009;5681;3089;1251;1081;109;10;5;;24.0;22;;1838;1680;-6.0;535;164;2592;100;1440;273;470;47
R;2010;5801;3150;1313;1141;122;10;5;12.0;;23;;1837;1709;-3.0;488;131;2651;96;1525;258;494;48
R;2011;5972;3379;1405;1209;148;9;5;11.0;;23;;1974;1849;;449;125;2593;88;1509;230;480;67
B;2012;6139;3298;1409;1250;142;9;5;12.0;;21;-30.0;1889;1768;;424;121;2841;268;1619;221;462;68
F;2013;6202;3257;1333;1224;125;9;5;10.0;;21;-61.0;1924;1803;;427;121;2945;334;1670;231;447;67
BO 1;2014;6259;3248;1307;1212;112;9;5;10.0;;20;-61.0;1941;1817;;405;124;3011;343;1744;214;450;69
BO 2;2015;6338;3227;1282;1195;104;9;5;10.0;;20;-61.0;1945;1824;;396;121;3111;366;1825;206;454;70
BO 3;2016;6070;2952;1185;1105;99;9;5;9.0;;19;-61.0;1767;1647;;396;120;3118;373;1825;206;454;70
