Finanslov;År;alt omsætning (mio kr);Tilskud i alt §1922;Uddannelsestilskud;Grundtilskud;Decentrale grundtilskud;Uddannelsestaxameter (Heltid);Færdiggørelsesbonus;Studietidstilskud;Beskæftigelsestilskud;Kvalitetstilskud;Kompensationstilskud;Internationaliseringstilskud;Administrative effektiviseringer;Øvrige faste uddannelsestilskud;Fripladser og stipendier;Uddannelsestaxameter (Deltid);Basistilskud;Forskning;Øvrige formål;SEA-reform;Øvrige tilskud og indtægter i alt;Øvrige uddannelsestilskud mv;Tilskudsfinansieret forskning;Myndighedsbetjening;Driftsindtægter;Andre tilskud
R;2016;3097;2193;1301;;;1161;156.0;;;;;5;-23.0;-16.0;8;10;892;805;87;;904;32;637;26;193;16
R;2017;3072;2201;1291;;;1160;139.0;;;;;3;-23.0;-5.0;7;10;910;819;91;;871;34;601;25;193;18
R;2018;3104;2222;1278;;;1149;141.0;;;;;4;-23.0;-8.0;6;9;944;856;88;;882;7;647;24;185;19
R;2019;3133;2177;1239;305.0;2.0;815;;45.0;28.0;11.0;17.0;3;;;5;8;938;856;82;;956;39;683;23;193;18
R;2020;3087;2173;1237;306.0;2.0;817;;45.0;27.0;10.0;13.0;2;;2.0;5;8;936;868;88;-20.0;914;27;628;50;189;20
B;2021;3145;2131;1196;306.0;2.0;790;;44.0;26.0;;9.0;2;;3.0;6;8;935;873;82;-20.0;1014;27;725;78;171;13
F;2022;3126;2139;1180;297.0;2.0;789;;44.0;24.0;;5.0;2;;3.0;6;8;959;898;80;-19.0;987;21;761;24;169;12
BO1;2023;3147;2113;1152;297.0;2.0;747;;42.0;42.0;;5.0;3;;;6;8;961;901;79;-19.0;1034;22;807;23;170;12
BO2;2024;3192;2109;1142;297.0;2.0;739;;41.0;41.0;;5.0;3;;;6;8;967;907;79;-19.0;1083;22;855;22;172;12
BO3;2025;3146;2011;1141;297.0;2.0;738;;41.0;41.0;;5.0;3;;;6;8;870;809;80;-19.0;1135;21;907;22;173;12
