Finanslov;År;I alt omsætning (mio kr);Tilskud i alt UI;Uddannelsestilskud fra UI;Heltidsuddannelse;Færdiggørelsesbonus;Udvekslingsstuderende;Fripladser og stipendier;Udvikling;Deltidsuddannelse;Administrative effektiviseringer;Basistilskud fra UI;Forskning;Kapitaltilskud;Øvrige formål;Øvrige tilskud og indtægter i alt;Øvrige uddannelsestilskud mv;Tilskudsfinansieret forskning;Driftsindtægter;Andre tilskud
R;2007;1090;760;471;420;27;10;;7.0;7;;289;213;3.0;73;330;22;85;209;14
R;2008;1112;763;461;402;35;10;;6.0;8;;302;225;3.0;74;349;29;102;204;14
R;2009;1198;842;515;440;48;11;;9.0;7;;327;246;2.0;79;356;32;101;203;20
R;2010;1241;871;550;468;53;11;7.0;;11;;321;248;1.0;72;370;26;84;244;16
R;2011;1293;920;584;489;69;11;6.0;;9;;336;255;;81;373;23;85;241;24
B;2012;1244;914;595;508;70;12;6.0;;7;-8.0;319;240;;79;330;21;87;209;13
F;2013;1238;914;585;512;64;13;5.0;;7;-16.0;329;252;;77;324;14;89;208;13
BO 1;2014;1259;920;585;515;61;13;5.0;;7;-16.0;335;257;;78;339;15;98;213;13
BO 2;2015;1285;934;594;525;60;13;5.0;;7;-16.0;340;263;;77;351;15;106;217;13
BO 3;2016;1196;845;538;475;54;14;5.0;;6;-16.0;307;231;;76;351;15;106;217;13
