Finanslov;År;I alt omsætning (mio kr);Tilskud i alt UBST;Uddannelsestilskud fra UBST;Heltidsuddannelse;Deltidsuddannelse;Udvekslingsstuderende;Færdiggørelsesbonus;Udvikling;Basistilskud fra UBST;Forskning;Kapitaltilskud;Øvrige formål;Grundtilskud;Øvrige tilskud og indtægter i alt;Uddannelsestilskud fra UVM mv;Tilskudsfinansieret forskning;Forskningsbaseret myndighedsbetjening;- heraf forskning;Driftsindtægter;Andre tilskud
R;2002;1626.6;1071.0;445.9;419.6;23.4;2.9;;;625.1;385.6;114.5;123.7;1.3;555.6;135.5;257.5;13.8;8.5;117.2;31.6
R;2003;1640.6;1101.3;446.9;434.3;10.0;2.6;;;654.4;407.4;120.9;124.9;1.2;539.3;134.2;259.4;14.9;8.3;89.5;41.3
R;2004;1743.2;1146.2;464.6;439.8;9.7;2.8;12.3;;681.6;420.4;130.3;129.7;1.2;597.0;141.3;301.4;10.5;8.1;105.7;38.1
R;2005;1763.7;1159.9;474.2;441.4;9.0;2.7;21.1;;685.7;437.4;133.5;113.6;1.2;603.8;132.5;299.9;21.3;7.9;105.0;45.1
R;2006;1879.1;1175.6;491.6;453.1;7.3;2.9;28.3;;684.0;435.4;132.7;114.7;1.2;703.5;132.8;310.2;18.0;7.8;190.9;51.6
B;2007;1844.7;1197.4;532.8;491.7;7.9;2.6;30.6;;664.6;436.2;131.2;97.2;0.0;647.3;133.5;346.1;14.7;7.6;112.4;40.6
F;2008;1935.3;1296.5;588.7;524.8;7.8;2.9;45.5;7.7;707.8;579.6;0.0;128.2;;638.8;134.6;345.5;14.4;7.0;105.8;38.5
BO 1;2009;1963.1;1321.3;616.6;551.7;7.7;2.9;44.8;9.5;704.7;580.5;0.0;124.2;;641.8;135.7;350.4;13.6;6.2;103.2;38.9
BO 2;2010;1941.5;1287.4;625.6;571.1;7.6;2.8;44.1;;661.8;542.3;0.0;119.5;;654.1;135.5;362.3;13.3;5.9;103.8;39.2
BO 3;2011;1972.3;1318.2;636.0;582.5;7.4;2.7;43.4;;682.2;567.0;0.0;115.2;;654.1;135.5;362.3;13.3;5.9;103.8;39.2
