Finanslov;År;I alt omsætning (mio kr);Tilskud i alt UBST;Uddannelsestilskud fra UBST;Heltidsuddannelse;Deltidsuddannelse;Udvekslingsstuderende;Færdiggørelsesbonus;Udvikling;Basistilskud fra UBST;Forskning;Kapitaltilskud;Øvrige formål;Grundtilskud;Øvrige tilskud og indtægter i alt;Uddannelsestilskud fra UVM mv;Tilskudsfinansieret forskning;Driftsindtægter;Andre tilskud
R;2002;119.6;99.4;38.4;33.8;4.6;;;;61.0;43.9;10.7;5.1;1.3;20.2;5.9;10.9;3.1;0.3
R;2003;131.6;111.6;40.6;37.4;3.2;;;;71.0;46.6;18.2;5.0;1.2;20.0;1.4;8.9;9.1;0.6
R;2004;138.3;117.5;39.2;35.4;2.5;0.0;1.3;;78.3;46.6;25.9;4.6;1.2;20.8;1.9;10.3;8.3;0.3
R;2005;148.9;121.1;42.0;36.4;3.2;;2.4;;79.1;44.8;30.0;3.1;1.2;27.8;1.9;16.0;8.7;1.2
R;2006;153.1;121.3;41.6;36.3;2.8;0.0;2.5;;79.7;44.6;31.2;2.7;1.2;31.8;1.4;16.3;11.9;2.2
B;2007;149.2;121.3;62.1;49.6;3.4;0.1;9.0;;59.2;41.8;17.6;-0.2;0.0;27.9;2.3;14.0;11.5;0.1
F;2008;169.2;133.4;60.8;50.6;4.6;0.1;4.8;0.7;72.6;72.4;0.0;0.2;;35.8;2.5;19.0;14.0;0.3
BO 1;2009;181.4;144.8;62.5;52.4;4.5;0.1;4.7;0.8;82.3;81.8;0.0;0.5;;36.6;2.5;20.0;13.8;0.3
BO 2;2010;157.2;119.8;63.7;54.4;4.5;0.1;4.7;;56.1;55.7;0.0;0.4;;37.4;2.4;21.0;13.7;0.3
BO 3;2011;157.3;119.0;65.4;56.3;4.4;0.1;4.6;;53.6;53.2;0.0;0.4;;38.3;2.4;22.0;13.6;0.3
