Finanslov;År;I alt omsætning (mio kr);Tilskud i alt UBST;Uddannelsestilskud fra UBST;Heltidsuddannelse;Deltidsuddannelse;Udvekslingsstuderende;Færdiggørelsesbonus;Udvikling;Basistilskud fra UBST;Forskning;Kapitaltilskud;Øvrige formål;Grundtilskud;Øvrige tilskud og indtægter i alt;Uddannelsestilskud fra UVM mv;Tilskudsfinansieret forskning;Driftsindtægter;Andre tilskud
R;2002;560.7;467.0;230.5;218.9;9.3;2.3;;;236.5;150.5;34.3;50.4;1.3;93.7;0.4;69.1;21.7;2.5
R;2003;566.4;474.4;226.4;216.3;7.9;2.2;;;248.0;159.5;37.0;50.3;1.2;92.0;1.1;75.9;13.3;1.7
R;2004;569.0;483.8;227.3;212.0;6.6;2.4;6.3;;256.5;165.7;42.6;47.0;1.2;85.2;1.3;68.0;14.4;1.5
R;2005;581.9;485.9;237.4;219.1;6.7;2.2;9.4;;248.5;169.5;39.2;38.6;1.2;96.0;10.5;50.6;33.5;1.4
R;2006;615.0;490.9;246.0;224.1;6.1;2.1;13.7;;244.9;165.2;39.5;39.0;1.2;124.1;8.0;79.6;35.1;1.4
B;2007;665.1;542.5;314.5;289.6;5.9;2.4;16.6;;228.0;161.0;39.6;27.4;0.0;122.6;3.4;77.0;40.1;2.1
F;2008;660.6;534.5;296.7;266.4;5.1;1.9;20.1;3.2;237.8;199.9;0.0;37.9;;126.1;1.8;75.0;47.3;2.0
BO 1;2009;672.9;541.3;307.7;277.0;5.0;1.9;19.8;4.0;233.6;195.9;0.0;37.7;;131.6;1.8;80.0;47.8;2.0
BO 2;2010;655.0;517.4;300.8;274.6;4.9;1.8;19.5;;216.6;178.0;0.0;38.6;;137.6;1.8;85.0;48.8;2.0
BO 3;2011;661.8;519.2;304.4;278.7;4.8;1.8;19.1;;214.8;176.7;0.0;38.1;;142.6;1.8;90.0;48.8;2.0
