Finanslov;År;I alt omsætning (mio kr);Tilskud i alt UI;Uddannelsestilskud fra UI;Heltidsuddannelse;Færdiggørelsesbonus;Udvekslingsstuderende;Fripladser og stipendier;Udvikling;Deltidsuddannelse;Administrative effektiviseringer;Basistilskud fra UI;Forskning;Kapitaltilskud;Øvrige formål;Øvrige tilskud og indtægter i alt;Øvrige uddannelsestilskud mv;Tilskudsfinansieret forskning;Forskningsbaseret myndighedsbetjening;- heraf forskning;Driftsindtægter;Andre tilskud
R;2007;3749;1805;501;459;27;3;;8.0;4;;1304;1198;-66;172;1944;150;1000;419;223;351;24
R;2008;3796;1874;482;431;34;4;;8.0;5;;1392;1289;-66;169;1922;33;1038;378;357;429;44
R;2009;3977;2037;531;463;48;4;;10.0;6;;1506;1401;-67;172;1940;44;1074;370;351;416;36
R;2010;4207;2067;538;473;48;4;8.0;;5;;1529;1442;-66;153;2140;40;1261;339;303;464;36
R;2011;4351;2142;554;486;51;5;7.0;;5;;1588;1530;-66;124;2209;46;1349;355;324;449;10
B;2012;4359;2083;557;507;53;5;6.0;;4;-18.0;1526;1534;-65;57;2276;39;1481;347;323;399;10
F;2013;4455;2101;537;508;51;5;5.0;;4;-36.0;1564;1562;-64;66;2354;36;1545;334;312;429;10
BO 1;2014;4520;2105;535;509;48;5;5.0;;4;-36.0;1570;1550;-62;82;2415;37;1627;325;305;416;10
BO 2;2015;4582;2108;544;522;44;5;5.0;;4;-36.0;1564;1541;-61;84;2474;37;1695;315;299;417;10
BO 3;2016;4489;2015;550;527;45;5;5.0;;4;-36.0;1465;1440;-60;85;2474;37;1695;315;299;417;10
