Finanslov;År;I alt omsætning (mio kr);Tilskud i alt UBST;Uddannelsestilskud fra UBST;Heltidsuddannelse;Deltidsuddannelse;Udvekslingsstuderende;Færdiggørelsesbonus;Udvikling;Basistilskud fra UBST;Forskning;Kapitaltilskud;Forskningsbaseret myndighedsbetjening;Øvrige formål;Grundtilskud;Øvrige tilskud og indtægter i alt;Uddannelsestilskud fra UVM mv;Tilskudsfinansieret forskning;- heraf forskning;Driftsindtægter;Andre tilskud
R;2002;3886.8;2166.2;900.4;868.8;23.2;8.4;;;1265.8;904.9;159.0;433.4;197.9;4.0;1720.6;92.0;896.4;207.8;253.8;45.0
R;2003;3944.0;2214.3;897.1;869.9;18.2;9.0;;;1317.2;936.0;186.4;402.1;190.9;3.9;1729.7;92.9;932.9;193.3;261.0;40.8
R;2004;4108.7;2290.6;935.7;880.6;18.1;8.4;28.6;;1354.9;974.8;190.2;434.6;181.2;3.8;1818.1;86.4;965.1;211.5;286.6;45.4
R;2005;4082.7;2306.0;933.3;862.4;21.1;7.8;42.0;;1372.7;1016.1;197.7;379.7;151.3;3.8;1776.7;92.6;980.1;183.5;291.6;32.7
R;2006;4239.2;2306.2;939.3;860.1;18.9;7.4;52.9;;1366.9;1002.9;204.8;377.1;151.0;3.7;1933.0;123.8;990.8;181.1;379.5;61.8
B;2007;4432.4;2335.5;997.8;906.1;18.8;7.3;65.6;;1337.7;1000.2;230.0;428.0;107.5;0.0;2096.9;99.4;1201.7;207.1;345.7;22.1
F;2008;4687.4;2529.4;1063.9;944.5;20.6;7.8;77.7;13.3;1465.5;1329.3;0.0;402.4;136.2;;2158.0;78.3;1264.0;208.9;368.8;44.5
BO 1;2009;4762.7;2540.2;1077.8;957.0;20.3;7.7;76.5;16.3;1462.4;1326.3;0.0;406.8;136.1;;2222.5;78.4;1376.1;210.6;319.5;41.7
BO 2;2010;4819.3;2431.7;1057.1;954.4;20.0;7.5;75.2;;1374.6;1239.2;0.0;393.8;135.4;;2387.6;78.4;1504.2;204.3;369.5;41.7
BO 3;2011;4845.1;2451.6;1059.8;958.8;19.6;7.4;74.0;;1391.8;1256.2;0.0;390.7;135.6;;2393.5;78.4;1513.2;203.2;369.5;41.7
