Finanslov;År;alt omsætning (mio kr);Tilskud i alt §1922;Uddannelsestilskud;Grundtilskud;Decentrale grundtilskud;Uddannelsestaxameter (Heltid);Færdiggørelsesbonus;Småfagstilskud;Studietidstilskud;Beskæftigelsestilskud;Kvalitetstilskud;Internationaliseringstilskud;Administrative effektiviseringer;Øvrige faste uddannelsestilskud;Fripladser og stipendier;Uddannelsestaxameter (Deltid);Basistilskud;Forskning;Øvrige formål;SEA-reform;Øvrige tilskud og indtægter i alt;Øvrige uddannelsestilskud mv;Tilskudsfinansieret forskning;Myndighedsbetjening;- heraf forskning;Driftsindtægter;Andre tilskud
R;2016;3301;2282;1264;;;1168;111.0;1.0;;;;6;-31.0;-12;7;14;1018;914;104;;1019;56;647;26;6;202;88
R;2017;3370;2308;1284;;;1163;130.0;1.0;;;;5;-32.0;-3;6;14;1024;919;105;;1062;51;677;24;5;231;79
R;2018;3337;2299;1264;;;1135;144.0;2.0;;;;5;-32.0;-8;6;12;1035;933;102;;1038;10;682;22;4;249;75
R;2019;3349;2265;1239;300.0;8.0;807;;2.0;45.0;32.0;11.0;5;;12;6;11;1026;933;93;;1084;58;711;21;9;223;71
R;2020;3304;2216;1237;301.0;8.0;802;;2.0;45.0;31.0;10.0;6;;14;6;12;979;942;98;-61.0;1088;47;748;18;6;218;57
B;2021;3326;2208;1230;301.0;8.0;812;;;45.0;28.0;;5;;14;6;11;978;943;96;-61.0;1118;13;795;26;14;225;59
F;2022;3314;2189;1195;292.0;8.0;786;;;44.0;28.0;;5;;15;6;11;994;962;93;-61.0;1125;12;801;26;14;229;57
BO1;2023;3325;2176;1176;291.0;8.0;759;;;42.0;42.0;;5;;12;6;11;1000;966;95;-61.0;1149;11;826;26;14;231;55
BO2;2024;3362;2188;1186;291.0;8.0;766;;;43.0;43.0;;6;;12;6;11;1002;970;93;-61.0;1174;11;849;25;14;234;55
BO3;2025;3281;2107;1190;291.0;8.0;770;;;43.0;43.0;;6;;12;6;11;917;884;94;-61.0;1174;11;849;25;14;234;55
