Finanslov;År;I alt omsætning (mio kr);Tilskud i alt UBST;Uddannelsestilskud fra UBST;Heltidsuddannelse;Deltidsuddannelse;Udvekslingsstuderende;Færdiggørelsesbonus;Udvikling;Basistilskud fra UBST;Forskning;Kapitaltilskud;Øvrige formål;Grundtilskud;Øvrige tilskud og indtægter i alt;Uddannelsestilskud fra UVM mv;Tilskudsfinansieret forskning;Driftsindtægter;Andre tilskud
R;2002;756.5;575.5;325.9;290.5;28.4;7.0;;;249.6;148.2;41.2;58.9;1.3;181.0;23.5;64.1;87.7;5.7
R;2003;805.6;598.3;324.6;310.0;6.7;7.9;;;273.7;165.5;43.9;63.1;1.2;207.3;25.0;60.8;105.3;16.2
R;2004;807.7;623.8;351.5;325.9;7.2;8.5;9.9;;272.3;170.2;44.0;56.9;1.2;183.9;23.2;48.2;104.7;7.8
R;2005;853.4;650.1;365.0;332.5;8.1;8.5;15.9;;285.1;185.8;49.2;48.9;1.2;203.3;20.6;55.3;117.1;10.3
R;2006;903.7;652.1;368.8;331.9;7.5;8.5;20.9;;283.3;175.4;59.1;47.6;1.2;251.6;21.4;66.0;156.3;7.9
B;2007;901.6;655.0;404.1;364.3;6.5;9.1;24.2;;250.9;152.6;59.1;39.2;0.0;246.6;21.7;59.0;158.4;7.5
F;2008;983.5;712.5;440.7;384.8;6.8;10.2;33.7;5.2;271.8;203.2;0.0;68.6;;271.0;20.7;80.6;162.0;7.7
BO 1;2009;978.2;703.6;436.5;380.1;6.7;10.0;33.3;6.4;267.1;197.6;0.0;69.5;;274.6;20.3;84.7;161.9;7.7
BO 2;2010;940.8;661.9;419.4;370.3;6.6;9.8;32.7;;242.5;174.5;0.0;68.0;;278.9;20.1;88.9;162.2;7.7
BO 3;2011;934.6;650.8;411.3;363.2;6.4;9.5;32.2;;239.5;173.3;0.0;66.2;;283.8;20.1;93.3;162.7;7.7
