År;Finanslov;Universitet;Total Omsætning;Uddannelsestilskud;Uddannelsestaxameter (Heltid);Uddannelsestaxameter (Deltid);Basistilskud;Tilskudsfinansieret forskning
2002.0;R;AU;4323470522.803114;1001557285.8731923;966407119.0211345;25806451.612903222;1408008898.7764182;997107897.6640711
2003.0;R;AU;4387096774.193548;997886540.6006674;967630700.7786429;20244716.351501666;1465183537.2636263;1037708565.0723025
2004.0;R;AU;4570300333.704116;1040823136.8186873;979532814.2380422;20133481.646273635;1507119021.134594;1073526140.1557286
2005.0;R;AU;4541379310.344827;1038153503.8932145;959288097.8865405;23470522.803114574;1526918798.6651835;1090211345.939933
2006.0;R;AU;4715461624.026696;1044827586.2068965;956729699.6662958;21023359.28809788;1520467185.761958;1102113459.3993325
2007.0;R;AU;5113590263.691684;1162271805.2738338;1044624746.4503042;21298174.44219067;1601419878.2961462;1343813387.4239352
2008.0;R;AU;5359026369.168358;1187626774.84787;1044624746.4503042;24340770.79107505;1682555780.933063;1422920892.494929
2009.0;R;AU;5761663286.004057;1268762677.484787;1096348884.3813388;22312373.225152127;1864097363.0831642;1460446247.464503
2010.0;R;AU;5883367139.959433;1331643002.0283976;1157200811.3590264;23326572.00811359;1863083164.3002028;1546653144.0162272
2011.0;R;AU;6056795131.845841;1424949290.060852;1226166328.6004057;23326572.00811359;2002028397.5659232;1530425963.4888437
2012.0;R;AU;6532163742.690059;1590643274.8538013;1431773879.1423004;21442495.126705654;1951267056.5302145;1622807017.5438597
2013.0;R;AU;6499025341.130605;1638401559.4541912;1499025341.1306043;21442495.126705654;1932748538.0116959;1642300194.9317741
2014.0;R;AU;6352826510.721249;1666666666.6666667;1519493177.3879144;22417153.996101364;1943469785.575049;1607212475.6335285
2015.0;R;AU;6364522417.153996;1644249512.6705654;1501949317.7387915;14619883.040935675;1940545808.9668617;1720272904.4834309
2016.0;R;AU;6694497153.70019;1816888045.5407968;1670777988.6148007;15180265.654648956;2011385199.2409866;1731499051.2333965
2017.0;R;AU;6745730550.284629;1791271347.2485769;1645161290.3225806;14231499.051233396;2041745730.5502846;1791271347.2485769
2018.0;R;AU;6663187855.787477;1726755218.2163188;1586337760.910816;12333965.844402278;2068311195.44592;1812144212.523719
2019.0;R;AU;6725806451.612904;1745730550.28463;1145161290.3225806;11385199.240986716;2034155597.72296;1891840607.2106261
2020.0;R;AU;6567362428.8425045;1745730550.28463;1148007590.1328273;9487666.034155598;2022770398.4819734;1833965844.402277
2002.0;R;AAU;1651056729.6996663;612569521.6907675;587096774.1935483;21690767.519466072;554616240.2669632;314460511.679644
2003.0;R;AAU;1632703003.3370411;602558398.2202448;585205784.2046719;13570634.037819799;602447163.5150167;260956618.46496102
2004.0;R;AAU;1720355951.0567296;617797552.8364849;585428253.6151278;12013348.164627364;608453837.5973303;295328142.38042265
2005.0;R;AAU;1723248053.3926585;617018909.8998888;575862068.9655172;12013348.164627364;610901001.1123471;296774193.54838705
2006.0;R;AAU;1730033370.4115684;623692992.2135706;574860956.618465;10789766.407119019;606896551.7241379;279866518.3537263
2007.0;R;AAU;1760649087.2210953;657200811.3590264;598377281.9472617;8113590.263691684;622718052.7383367;248478701.8255578
2008.0;R;AAU;1840770791.0750508;668356997.9716024;601419878.296146;9127789.046653146;663286004.0567951;264705882.35294116
2009.0;R;AAU;2046653144.0162272;708924949.2900609;617647058.8235294;8113590.263691684;735294117.6470588;333671399.59432054
2010.0;R;AAU;2132860040.5679512;760649087.2210953;658215010.1419878;9127789.046653146;744421906.693712;351926977.6876268
2011.0;R;AAU;2264705882.3529415;814401622.7180527;692697768.7626774;9127789.046653146;781947261.663286;401622718.05273837
2012.0;R;AAU;2417153996.1013646;884990253.411306;763157894.7368422;8771929.824561404;777777777.7777778;443469785.5750488
2013.0;R;AAU;2644249512.670565;989278752.4366472;884015594.5419103;9746588.693957115;800194931.7738792;554580896.68616
2014.0;R;AAU;2783625730.994152;1120857699.8050683;1003898635.4775829;9746588.693957115;809941520.4678363;586744639.3762184
2015.0;R;AAU;2878167641.3255363;1206627680.3118908;1054580896.6861598;10721247.563352827;813840155.9454192;591617933.7231969
2016.0;R;AAU;2938330170.7779884;1234345351.0436432;1101518026.565465;9487666.034155598;846299810.2466793;604364326.3757116
2017.0;R;AAU;2914611005.6925993;1224857685.0094876;1100569259.9620492;9487666.034155598;863377609.1081594;570208728.6527513
2018.0;R;AAU;2944971537.0018973;1212523719.1650853;1090132827.3244781;8538899.430740038;895635673.6242884;613851992.4098672
2019.0;R;AAU;2972485768.500949;1175521821.6318786;773244781.7836813;7590132.827324478;889943074.003795;648007590.1328273
2020.0;R;AAU;2928842504.7438326;1173624288.4250474;775142314.9905124;7590132.827324478;888045540.7969639;595825426.9449714
2002.0;R;CBS;841490545.0500555;362513904.3381535;323136818.68743044;31590656.284760844;277641824.2491657;71301446.05116795
2003.0;R;CBS;896106785.3170189;361067853.1701891;344827586.2068965;7452725.250278086;304449388.20912117;67630700.77864294
2004.0;R;CBS;898442714.1268076;390989988.87652946;362513904.3381535;8008898.776418242;302892102.3359288;53615127.91991101
2005.0;R;CBS;949276974.4160178;406006674.08231366;369855394.8832035;9010011.12347052;317130144.6051168;61512791.99110122
2006.0;R;CBS;1005228031.1457174;410233592.8809788;369187986.6518353;8342602.892102335;315127919.91101223;73414905.45050055
2007.0;R;CBS;1105476673.4279919;477687626.7748479;425963488.8438134;7099391.4807302235;293103448.2758621;86206896.55172414
2008.0;R;CBS;1127789046.6531441;467545638.9452333;407707910.7505071;8113590.263691684;306288032.4543611;103448275.86206897
2009.0;R;CBS;1215010141.9878297;522312373.2251521;446247464.50304264;7099391.4807302235;331643002.02839756;102434077.07910751
